#Distance (mm)	Counts
0.0	322.0
-0.1	338.0
-0.2	351.0
-0.3	324.0
-0.4	380.0
-0.5	345.0
-0.6	371.0
-0.7	340.0
-0.8	398.0
-0.9	383.0
-1.0	385.0
-1.1	381.0
-1.2	391.0
-1.3	404.0
-1.4	400.0
-1.5	426.0
-1.6	374.0
-1.7	402.0
-1.8	428.0
-1.9	439.0
-2.0	437.0
-2.1	419.0
-2.2	444.0
-2.3	447.0
-2.4	453.0
-2.5	488.0
-2.6	459.0
-2.7	474.0
-2.8	475.0
-2.9	457.0
-3.0	487.0
-3.1	500.0
-3.2	485.0
-3.3	555.0
-3.4	527.0
-3.5	559.0
-3.6	587.0
-3.7	534.0
-3.8	580.0
-3.9	615.0
-4.0	624.0
-4.1	636.0
-4.2	664.0
-4.3	691.0
-4.4	734.0
-4.5	675.0
-4.6	699.0
-4.7	711.0
-4.8	774.0
-4.9	783.0
-5.0	787.0
-5.1	819.0
-5.2	851.0
-5.3	824.0
-5.4	847.0
-5.5	852.0
-5.6	926.0
-5.7	939.0
-5.8	1026.0
-5.9	1045.0
-6.0	1100.0
-6.1	1164.0
-6.2	1250.0
-6.3	1235.0
-6.4	1350.0
-6.5	1405.0
-6.6	1388.0
-6.7	1455.0
-6.8	1612.0
-6.9	1631.0
-7.0	1734.0
-7.1	1772.0
-7.2	1922.0
-7.3	1901.0
-7.4	2076.0
-7.5	2181.0
-7.6	2249.0
-7.7	2298.0
-7.8	2449.0
-7.9	2605.0
-8.0	2525.0
-8.1	2636.0
-8.2	2657.0
-8.3	2641.0
-8.4	2799.0
-8.5	2747.0
-8.6	2640.0
-8.7	2748.0
-8.8	2684.0
-8.9	2668.0
-9.0	2700.0
-9.1	2609.0
-9.2	2475.0
-9.3	2455.0
-9.4	2371.0
-9.5	2295.0
-9.6	2229.0
-9.7	2136.0
-9.8	2081.0
-9.9	2008.0
-10.0	1901.0
-10.1	1929.0
-10.2	1794.0
-10.3	1727.0
-10.4	1679.0
-10.5	1653.0
-10.6	1627.0
-10.7	1641.0
-10.8	1619.0
-10.9	1589.0
-11.0	1600.0
-11.1	1708.0
-11.2	1617.0
-11.3	1639.0
-11.4	1720.0
-11.5	1702.0
-11.6	1800.0
-11.7	1777.0
-11.8	1875.0
-11.9	1823.0
-12.0	1857.0
-12.1	1842.0
-12.2	1945.0
-12.3	1976.0
-12.4	2144.0
-12.5	2070.0
-12.6	2230.0
-12.7	2313.0
-12.8	2307.0
-12.9	2385.0
-13.0	2507.0
-13.1	2555.0
-13.2	2539.0
-13.3	2597.0
-13.4	2489.0
-13.5	2639.0
-13.6	2609.0
-13.7	2586.0
-13.8	2631.0
-13.9	2615.0
-14.0	2534.0
-14.1	2444.0
-14.2	2449.0
-14.3	2382.0
-14.4	2261.0
-14.5	2262.0
-14.6	2225.0
-14.7	2106.0
-14.8	2044.0
-14.9	1841.0
-15.0	1804.0
-15.1	1721.0
-15.2	1528.0
-15.3	1483.0
-15.4	1473.0
-15.5	1379.0
-15.6	1284.0
-15.7	1199.0
-15.8	1201.0
-15.9	1195.0
-16.0	1010.0
-16.1	1037.0
-16.2	998.0
-16.3	956.0
-16.4	918.0
-16.5	912.0
-16.6	810.0
-16.7	864.0
-16.8	807.0
-16.9	852.0
-17.0	739.0
-17.1	710.0
-17.2	732.0
-17.3	729.0
-17.4	665.0
-17.5	700.0
-17.6	678.0
-17.7	674.0
-17.8	627.0
-17.9	658.0
-18.0	619.0
-18.1	641.0
-18.2	648.0
-18.3	632.0
-18.4	558.0
-18.5	549.0
-18.6	558.0
-18.7	620.0
-18.8	566.0
-18.9	539.0
-19.0	563.0
-19.1	538.0
-19.2	537.0
-19.3	509.0
-19.4	525.0
-19.5	522.0
-19.6	533.0
-19.7	495.0
-19.8	497.0
-19.9	472.0
-20.0	477.0
