#Distance (mm)	Counts
0.0	354.0
-0.1	327.0
-0.2	355.0
-0.3	298.0
-0.4	329.0
-0.5	364.0
-0.6	384.0
-0.7	377.0
-0.8	357.0
-0.9	387.0
-1.0	373.0
-1.1	396.0
-1.2	389.0
-1.3	398.0
-1.4	393.0
-1.5	372.0
-1.6	397.0
-1.7	403.0
-1.8	410.0
-1.9	434.0
-2.0	458.0
-2.1	427.0
-2.2	457.0
-2.3	460.0
-2.4	454.0
-2.5	452.0
-2.6	441.0
-2.7	444.0
-2.8	495.0
-2.9	496.0
-3.0	468.0
-3.1	492.0
-3.2	466.0
-3.3	526.0
-3.4	546.0
-3.5	520.0
-3.6	534.0
-3.7	528.0
-3.8	581.0
-3.9	549.0
-4.0	553.0
-4.1	505.0
-4.2	563.0
-4.3	566.0
-4.4	615.0
-4.5	650.0
-4.6	607.0
-4.7	649.0
-4.8	595.0
-4.9	673.0
-5.0	700.0
-5.1	712.0
-5.2	756.0
-5.3	695.0
-5.4	709.0
-5.5	742.0
-5.6	779.0
-5.7	768.0
-5.8	781.0
-5.9	809.0
-6.0	867.0
-6.1	869.0
-6.2	903.0
-6.3	902.0
-6.4	924.0
-6.5	931.0
-6.6	980.0
-6.7	936.0
-6.8	1018.0
-6.9	1109.0
-7.0	1096.0
-7.1	1071.0
-7.2	1175.0
-7.3	1255.0
-7.4	1177.0
-7.5	1267.0
-7.6	1345.0
-7.7	1366.0
-7.8	1428.0
-7.9	1431.0
-8.0	1477.0
-8.1	1705.0
-8.2	1695.0
-8.3	1740.0
-8.4	1950.0
-8.5	1974.0
-8.6	2063.0
-8.7	2188.0
-8.8	2335.0
-8.9	2390.0
-9.0	2444.0
-9.1	2670.0
-9.2	2720.0
-9.3	2919.0
-9.4	3087.0
-9.5	3226.0
-9.6	3244.0
-9.7	3442.0
-9.8	3562.0
-9.9	3761.0
-10.0	3879.0
-10.1	3818.0
-10.2	3949.0
-10.3	4202.0
-10.4	4309.0
-10.5	4343.0
-10.6	4350.0
-10.7	4535.0
-10.8	4433.0
-10.9	4459.0
-11.0	4488.0
-11.1	4475.0
-11.2	4435.0
-11.3	4445.0
-11.4	4278.0
-11.5	4121.0
-11.6	3986.0
-11.7	3849.0
-11.8	3665.0
-11.9	3650.0
-12.0	3357.0
-12.1	3406.0
-12.2	3183.0
-12.3	2926.0
-12.4	2768.0
-12.5	2625.0
-12.6	2473.0
-12.7	2346.0
-12.8	2225.0
-12.9	2143.0
-13.0	1963.0
-13.1	1826.0
-13.2	1826.0
-13.3	1681.0
-13.4	1585.0
-13.5	1554.0
-13.6	1373.0
-13.7	1445.0
-13.8	1382.0
-13.9	1282.0
-14.0	1292.0
-14.1	1308.0
-14.2	1216.0
-14.3	1107.0
-14.4	1128.0
-14.5	1047.0
-14.6	1035.0
-14.7	978.0
-14.8	989.0
-14.9	943.0
-15.0	911.0
-15.1	932.0
-15.2	855.0
-15.3	839.0
-15.4	880.0
-15.5	873.0
-15.6	834.0
-15.7	750.0
-15.8	779.0
-15.9	743.0
-16.0	777.0
-16.1	773.0
-16.2	745.0
-16.3	705.0
-16.4	704.0
-16.5	694.0
-16.6	718.0
-16.7	688.0
-16.8	709.0
-16.9	674.0
-17.0	692.0
-17.1	664.0
-17.2	593.0
-17.3	676.0
-17.4	610.0
-17.5	595.0
-17.6	617.0
-17.7	585.0
-17.8	589.0
-17.9	618.0
-18.0	561.0
-18.1	587.0
-18.2	569.0
-18.3	542.0
-18.4	537.0
-18.5	579.0
-18.6	603.0
-18.7	548.0
-18.8	492.0
-18.9	530.0
-19.0	490.0
-19.1	492.0
-19.2	498.0
-19.3	489.0
-19.4	482.0
-19.5	482.0
-19.6	469.0
-19.7	454.0
-19.8	451.0
-19.9	489.0
-20.0	465.0
