#Distance (mm)	Counts
0.0	363.0
-0.1	309.0
-0.2	325.0
-0.3	372.0
-0.4	321.0
-0.5	350.0
-0.6	357.0
-0.7	351.0
-0.8	360.0
-0.9	373.0
-1.0	387.0
-1.1	390.0
-1.2	400.0
-1.3	376.0
-1.4	390.0
-1.5	420.0
-1.6	411.0
-1.7	441.0
-1.8	423.0
-1.9	419.0
-2.0	463.0
-2.1	415.0
-2.2	471.0
-2.3	471.0
-2.4	457.0
-2.5	461.0
-2.6	430.0
-2.7	484.0
-2.8	505.0
-2.9	438.0
-3.0	490.0
-3.1	516.0
-3.2	472.0
-3.3	561.0
-3.4	510.0
-3.5	536.0
-3.6	523.0
-3.7	533.0
-3.8	580.0
-3.9	564.0
-4.0	538.0
-4.1	576.0
-4.2	590.0
-4.3	617.0
-4.4	641.0
-4.5	612.0
-4.6	697.0
-4.7	671.0
-4.8	735.0
-4.9	704.0
-5.0	769.0
-5.1	786.0
-5.2	774.0
-5.3	815.0
-5.4	766.0
-5.5	821.0
-5.6	897.0
-5.7	899.0
-5.8	858.0
-5.9	958.0
-6.0	1000.0
-6.1	1021.0
-6.2	1031.0
-6.3	1038.0
-6.4	1188.0
-6.5	1163.0
-6.6	1176.0
-6.7	1288.0
-6.8	1334.0
-6.9	1387.0
-7.0	1462.0
-7.1	1554.0
-7.2	1663.0
-7.3	1715.0
-7.4	1659.0
-7.5	1767.0
-7.6	1901.0
-7.7	2002.0
-7.8	2132.0
-7.9	2141.0
-8.0	2188.0
-8.1	2327.0
-8.2	2465.0
-8.3	2546.0
-8.4	2588.0
-8.5	2672.0
-8.6	2660.0
-8.7	2887.0
-8.8	2795.0
-8.9	2798.0
-9.0	2897.0
-9.1	2951.0
-9.2	2899.0
-9.3	2848.0
-9.4	2820.0
-9.5	2743.0
-9.6	2645.0
-9.7	2692.0
-9.8	2708.0
-9.9	2582.0
-10.0	2500.0
-10.1	2371.0
-10.2	2320.0
-10.3	2204.0
-10.4	2262.0
-10.5	2187.0
-10.6	2087.0
-10.7	2094.0
-10.8	2032.0
-10.9	2085.0
-11.0	2102.0
-11.1	2043.0
-11.2	2087.0
-11.3	2083.0
-11.4	2074.0
-11.5	2007.0
-11.6	2046.0
-11.7	2192.0
-11.8	2127.0
-11.9	2252.0
-12.0	2315.0
-12.1	2295.0
-12.2	2436.0
-12.3	2462.0
-12.4	2594.0
-12.5	2567.0
-12.6	2575.0
-12.7	2712.0
-12.8	2816.0
-12.9	2771.0
-13.0	2825.0
-13.1	2810.0
-13.2	2707.0
-13.3	2793.0
-13.4	2786.0
-13.5	2702.0
-13.6	2599.0
-13.7	2586.0
-13.8	2619.0
-13.9	2595.0
-14.0	2443.0
-14.1	2270.0
-14.2	2312.0
-14.3	2200.0
-14.4	2070.0
-14.5	1964.0
-14.6	1885.0
-14.7	1800.0
-14.8	1678.0
-14.9	1559.0
-15.0	1505.0
-15.1	1431.0
-15.2	1404.0
-15.3	1359.0
-15.4	1297.0
-15.5	1239.0
-15.6	1228.0
-15.7	1166.0
-15.8	1084.0
-15.9	1031.0
-16.0	964.0
-16.1	929.0
-16.2	889.0
-16.3	885.0
-16.4	940.0
-16.5	867.0
-16.6	830.0
-16.7	838.0
-16.8	819.0
-16.9	745.0
-17.0	784.0
-17.1	716.0
-17.2	728.0
-17.3	680.0
-17.4	703.0
-17.5	671.0
-17.6	645.0
-17.7	623.0
-17.8	640.0
-17.9	635.0
-18.0	589.0
-18.1	655.0
-18.2	601.0
-18.3	592.0
-18.4	584.0
-18.5	563.0
-18.6	581.0
-18.7	573.0
-18.8	551.0
-18.9	519.0
-19.0	539.0
-19.1	509.0
-19.2	536.0
-19.3	499.0
-19.4	517.0
-19.5	497.0
-19.6	529.0
-19.7	526.0
-19.8	485.0
-19.9	460.0
-20.0	457.0
