#Distance (mm)	Counts
0.0	359.0
-0.1	401.0
-0.2	349.0
-0.3	385.0
-0.4	356.0
-0.5	362.0
-0.6	378.0
-0.7	345.0
-0.8	346.0
-0.9	368.0
-1.0	401.0
-1.1	390.0
-1.2	416.0
-1.3	416.0
-1.4	411.0
-1.5	469.0
-1.6	457.0
-1.7	394.0
-1.8	466.0
-1.9	421.0
-2.0	450.0
-2.1	459.0
-2.2	470.0
-2.3	462.0
-2.4	488.0
-2.5	469.0
-2.6	435.0
-2.7	513.0
-2.8	503.0
-2.9	545.0
-3.0	506.0
-3.1	502.0
-3.2	552.0
-3.3	506.0
-3.4	536.0
-3.5	562.0
-3.6	504.0
-3.7	627.0
-3.8	583.0
-3.9	588.0
-4.0	607.0
-4.1	590.0
-4.2	614.0
-4.3	637.0
-4.4	665.0
-4.5	699.0
-4.6	708.0
-4.7	712.0
-4.8	732.0
-4.9	727.0
-5.0	749.0
-5.1	759.0
-5.2	840.0
-5.3	813.0
-5.4	818.0
-5.5	850.0
-5.6	934.0
-5.7	855.0
-5.8	934.0
-5.9	945.0
-6.0	1001.0
-6.1	1037.0
-6.2	1008.0
-6.3	1121.0
-6.4	1137.0
-6.5	1243.0
-6.6	1341.0
-6.7	1369.0
-6.8	1393.0
-6.9	1487.0
-7.0	1527.0
-7.1	1662.0
-7.2	1712.0
-7.3	1805.0
-7.4	1826.0
-7.5	1914.0
-7.6	1977.0
-7.7	2051.0
-7.8	2130.0
-7.9	2190.0
-8.0	2322.0
-8.1	2500.0
-8.2	2476.0
-8.3	2675.0
-8.4	2724.0
-8.5	2721.0
-8.6	2845.0
-8.7	2949.0
-8.8	2888.0
-8.9	2812.0
-9.0	2957.0
-9.1	2951.0
-9.2	2932.0
-9.3	2915.0
-9.4	2872.0
-9.5	2873.0
-9.6	2829.0
-9.7	2764.0
-9.8	2721.0
-9.9	2626.0
-10.0	2513.0
-10.1	2507.0
-10.2	2436.0
-10.3	2387.0
-10.4	2318.0
-10.5	2341.0
-10.6	2273.0
-10.7	2206.0
-10.8	2240.0
-10.9	2158.0
-11.0	2246.0
-11.1	2180.0
-11.2	2197.0
-11.3	2232.0
-11.4	2219.0
-11.5	2295.0
-11.6	2236.0
-11.7	2352.0
-11.8	2434.0
-11.9	2510.0
-12.0	2497.0
-12.1	2629.0
-12.2	2659.0
-12.3	2630.0
-12.4	2691.0
-12.5	2781.0
-12.6	2765.0
-12.7	2756.0
-12.8	2752.0
-12.9	2840.0
-13.0	2784.0
-13.1	2768.0
-13.2	2776.0
-13.3	2716.0
-13.4	2646.0
-13.5	2685.0
-13.6	2584.0
-13.7	2454.0
-13.8	2374.0
-13.9	2236.0
-14.0	2305.0
-14.1	2120.0
-14.2	2073.0
-14.3	2007.0
-14.4	1872.0
-14.5	1700.0
-14.6	1672.0
-14.7	1582.0
-14.8	1605.0
-14.9	1474.0
-15.0	1424.0
-15.1	1310.0
-15.2	1248.0
-15.3	1181.0
-15.4	1212.0
-15.5	1120.0
-15.6	1097.0
-15.7	985.0
-15.8	982.0
-15.9	984.0
-16.0	886.0
-16.1	907.0
-16.2	911.0
-16.3	852.0
-16.4	837.0
-16.5	794.0
-16.6	800.0
-16.7	825.0
-16.8	792.0
-16.9	744.0
-17.0	742.0
-17.1	724.0
-17.2	738.0
-17.3	706.0
-17.4	665.0
-17.5	696.0
-17.6	694.0
-17.7	613.0
-17.8	626.0
-17.9	602.0
-18.0	622.0
-18.1	601.0
-18.2	622.0
-18.3	600.0
-18.4	572.0
-18.5	565.0
-18.6	563.0
-18.7	590.0
-18.8	551.0
-18.9	567.0
-19.0	515.0
-19.1	521.0
-19.2	516.0
-19.3	529.0
-19.4	512.0
-19.5	496.0
-19.6	501.0
-19.7	488.0
-19.8	492.0
-19.9	454.0
-20.0	472.0
