#Distance (mm)	Counts
0.0	314.0
-0.1	329.0
-0.2	367.0
-0.3	359.0
-0.4	361.0
-0.5	356.0
-0.6	375.0
-0.7	359.0
-0.8	387.0
-0.9	391.0
-1.0	371.0
-1.1	441.0
-1.2	368.0
-1.3	381.0
-1.4	403.0
-1.5	428.0
-1.6	381.0
-1.7	420.0
-1.8	406.0
-1.9	368.0
-2.0	437.0
-2.1	443.0
-2.2	448.0
-2.3	469.0
-2.4	499.0
-2.5	504.0
-2.6	510.0
-2.7	457.0
-2.8	523.0
-2.9	458.0
-3.0	550.0
-3.1	569.0
-3.2	563.0
-3.3	571.0
-3.4	575.0
-3.5	565.0
-3.6	619.0
-3.7	595.0
-3.8	644.0
-3.9	629.0
-4.0	681.0
-4.1	679.0
-4.2	698.0
-4.3	747.0
-4.4	710.0
-4.5	752.0
-4.6	806.0
-4.7	790.0
-4.8	838.0
-4.9	807.0
-5.0	864.0
-5.1	949.0
-5.2	909.0
-5.3	1021.0
-5.4	1024.0
-5.5	1098.0
-5.6	1174.0
-5.7	1199.0
-5.8	1306.0
-5.9	1326.0
-6.0	1253.0
-6.1	1488.0
-6.2	1516.0
-6.3	1514.0
-6.4	1582.0
-6.5	1633.0
-6.6	1784.0
-6.7	1814.0
-6.8	1939.0
-6.9	2005.0
-7.0	2067.0
-7.1	2140.0
-7.2	2270.0
-7.3	2267.0
-7.4	2309.0
-7.5	2424.0
-7.6	2428.0
-7.7	2426.0
-7.8	2542.0
-7.9	2478.0
-8.0	2524.0
-8.1	2479.0
-8.2	2431.0
-8.3	2351.0
-8.4	2417.0
-8.5	2298.0
-8.6	2334.0
-8.7	2235.0
-8.8	2146.0
-8.9	2015.0
-9.0	2053.0
-9.1	1943.0
-9.2	1818.0
-9.3	1849.0
-9.4	1701.0
-9.5	1687.0
-9.6	1596.0
-9.7	1534.0
-9.8	1583.0
-9.9	1524.0
-10.0	1459.0
-10.1	1409.0
-10.2	1429.0
-10.3	1407.0
-10.4	1343.0
-10.5	1430.0
-10.6	1444.0
-10.7	1357.0
-10.8	1492.0
-10.9	1491.0
-11.0	1615.0
-11.1	1553.0
-11.2	1580.0
-11.3	1676.0
-11.4	1718.0
-11.5	1662.0
-11.6	1771.0
-11.7	1874.0
-11.8	1884.0
-11.9	1900.0
-12.0	2013.0
-12.1	2077.0
-12.2	2122.0
-12.3	2193.0
-12.4	2297.0
-12.5	2284.0
-12.6	2351.0
-12.7	2448.0
-12.8	2445.0
-12.9	2516.0
-13.0	2568.0
-13.1	2544.0
-13.2	2486.0
-13.3	2449.0
-13.4	2466.0
-13.5	2417.0
-13.6	2368.0
-13.7	2314.0
-13.8	2244.0
-13.9	2195.0
-14.0	2171.0
-14.1	2062.0
-14.2	1913.0
-14.3	1981.0
-14.4	1768.0
-14.5	1634.0
-14.6	1579.0
-14.7	1426.0
-14.8	1473.0
-14.9	1355.0
-15.0	1281.0
-15.1	1269.0
-15.2	1181.0
-15.3	1105.0
-15.4	1156.0
-15.5	1005.0
-15.6	949.0
-15.7	923.0
-15.8	901.0
-15.9	852.0
-16.0	821.0
-16.1	844.0
-16.2	766.0
-16.3	732.0
-16.4	751.0
-16.5	728.0
-16.6	726.0
-16.7	714.0
-16.8	650.0
-16.9	695.0
-17.0	664.0
-17.1	633.0
-17.2	575.0
-17.3	590.0
-17.4	601.0
-17.5	540.0
-17.6	625.0
-17.7	561.0
-17.8	566.0
-17.9	520.0
-18.0	499.0
-18.1	514.0
-18.2	501.0
-18.3	538.0
-18.4	483.0
-18.5	472.0
-18.6	529.0
-18.7	467.0
-18.8	506.0
-18.9	481.0
-19.0	464.0
-19.1	500.0
-19.2	486.0
-19.3	448.0
-19.4	453.0
-19.5	452.0
-19.6	403.0
-19.7	392.0
-19.8	413.0
-19.9	414.0
-20.0	415.0
