#Distance (mm)	Counts
0.0	359.0
-0.1	343.0
-0.2	384.0
-0.3	368.0
-0.4	366.0
-0.5	402.0
-0.6	391.0
-0.7	387.0
-0.8	391.0
-0.9	400.0
-1.0	406.0
-1.1	405.0
-1.2	425.0
-1.3	434.0
-1.4	374.0
-1.5	411.0
-1.6	447.0
-1.7	451.0
-1.8	432.0
-1.9	442.0
-2.0	466.0
-2.1	474.0
-2.2	441.0
-2.3	437.0
-2.4	492.0
-2.5	474.0
-2.6	487.0
-2.7	473.0
-2.8	558.0
-2.9	489.0
-3.0	566.0
-3.1	545.0
-3.2	521.0
-3.3	550.0
-3.4	538.0
-3.5	586.0
-3.6	605.0
-3.7	604.0
-3.8	643.0
-3.9	639.0
-4.0	638.0
-4.1	684.0
-4.2	679.0
-4.3	662.0
-4.4	686.0
-4.5	713.0
-4.6	724.0
-4.7	758.0
-4.8	753.0
-4.9	814.0
-5.0	838.0
-5.1	861.0
-5.2	865.0
-5.3	873.0
-5.4	902.0
-5.5	955.0
-5.6	977.0
-5.7	976.0
-5.8	1027.0
-5.9	1091.0
-6.0	1038.0
-6.1	1188.0
-6.2	1240.0
-6.3	1232.0
-6.4	1304.0
-6.5	1346.0
-6.6	1456.0
-6.7	1500.0
-6.8	1512.0
-6.9	1606.0
-7.0	1733.0
-7.1	1844.0
-7.2	1849.0
-7.3	1903.0
-7.4	1988.0
-7.5	2054.0
-7.6	2136.0
-7.7	2217.0
-7.8	2307.0
-7.9	2400.0
-8.0	2478.0
-8.1	2586.0
-8.2	2587.0
-8.3	2682.0
-8.4	2759.0
-8.5	2773.0
-8.6	2801.0
-8.7	2766.0
-8.8	2842.0
-8.9	2788.0
-9.0	2809.0
-9.1	2658.0
-9.2	2667.0
-9.3	2643.0
-9.4	2653.0
-9.5	2501.0
-9.6	2569.0
-9.7	2548.0
-9.8	2325.0
-9.9	2410.0
-10.0	2234.0
-10.1	2410.0
-10.2	2201.0
-10.3	2267.0
-10.4	2191.0
-10.5	2124.0
-10.6	2170.0
-10.7	2104.0
-10.8	2192.0
-10.9	2153.0
-11.0	2197.0
-11.1	2253.0
-11.2	2241.0
-11.3	2248.0
-11.4	2260.0
-11.5	2336.0
-11.6	2448.0
-11.7	2485.0
-11.8	2576.0
-11.9	2642.0
-12.0	2606.0
-12.1	2677.0
-12.2	2733.0
-12.3	2735.0
-12.4	2854.0
-12.5	2789.0
-12.6	2770.0
-12.7	2976.0
-12.8	2770.0
-12.9	2820.0
-13.0	2689.0
-13.1	2795.0
-13.2	2670.0
-13.3	2546.0
-13.4	2596.0
-13.5	2518.0
-13.6	2318.0
-13.7	2190.0
-13.8	2097.0
-13.9	2079.0
-14.0	1853.0
-14.1	1785.0
-14.2	1794.0
-14.3	1586.0
-14.4	1502.0
-14.5	1513.0
-14.6	1351.0
-14.7	1420.0
-14.8	1310.0
-14.9	1249.0
-15.0	1223.0
-15.1	1148.0
-15.2	1092.0
-15.3	1025.0
-15.4	956.0
-15.5	1053.0
-15.6	968.0
-15.7	866.0
-15.8	949.0
-15.9	832.0
-16.0	829.0
-16.1	821.0
-16.2	813.0
-16.3	797.0
-16.4	723.0
-16.5	736.0
-16.6	765.0
-16.7	752.0
-16.8	716.0
-16.9	712.0
-17.0	678.0
-17.1	662.0
-17.2	656.0
-17.3	625.0
-17.4	626.0
-17.5	641.0
-17.6	629.0
-17.7	595.0
-17.8	564.0
-17.9	608.0
-18.0	558.0
-18.1	574.0
-18.2	589.0
-18.3	586.0
-18.4	560.0
-18.5	560.0
-18.6	544.0
-18.7	531.0
-18.8	503.0
-18.9	500.0
-19.0	469.0
-19.1	530.0
-19.2	491.0
-19.3	486.0
-19.4	475.0
-19.5	475.0
-19.6	472.0
-19.7	486.0
-19.8	475.0
-19.9	450.0
-20.0	461.0
