#Distance (mm)	Counts
0.0	329.0
-0.1	367.0
-0.2	379.0
-0.3	354.0
-0.4	362.0
-0.5	327.0
-0.6	388.0
-0.7	364.0
-0.8	427.0
-0.9	394.0
-1.0	399.0
-1.1	403.0
-1.2	431.0
-1.3	383.0
-1.4	437.0
-1.5	409.0
-1.6	381.0
-1.7	406.0
-1.8	469.0
-1.9	419.0
-2.0	467.0
-2.1	463.0
-2.2	465.0
-2.3	492.0
-2.4	448.0
-2.5	457.0
-2.6	477.0
-2.7	540.0
-2.8	514.0
-2.9	526.0
-3.0	497.0
-3.1	542.0
-3.2	535.0
-3.3	541.0
-3.4	576.0
-3.5	591.0
-3.6	567.0
-3.7	584.0
-3.8	558.0
-3.9	567.0
-4.0	599.0
-4.1	617.0
-4.2	651.0
-4.3	634.0
-4.4	633.0
-4.5	723.0
-4.6	658.0
-4.7	697.0
-4.8	720.0
-4.9	682.0
-5.0	763.0
-5.1	783.0
-5.2	809.0
-5.3	808.0
-5.4	838.0
-5.5	833.0
-5.6	877.0
-5.7	874.0
-5.8	916.0
-5.9	970.0
-6.0	1047.0
-6.1	983.0
-6.2	1026.0
-6.3	1043.0
-6.4	1097.0
-6.5	1180.0
-6.6	1141.0
-6.7	1258.0
-6.8	1321.0
-6.9	1413.0
-7.0	1448.0
-7.1	1482.0
-7.2	1595.0
-7.3	1623.0
-7.4	1705.0
-7.5	1778.0
-7.6	1860.0
-7.7	1945.0
-7.8	2011.0
-7.9	2038.0
-8.0	2147.0
-8.1	2387.0
-8.2	2397.0
-8.3	2526.0
-8.4	2542.0
-8.5	2675.0
-8.6	2712.0
-8.7	2757.0
-8.8	2800.0
-8.9	2876.0
-9.0	2882.0
-9.1	3018.0
-9.2	3130.0
-9.3	3173.0
-9.4	3163.0
-9.5	3293.0
-9.6	3197.0
-9.7	3185.0
-9.8	3170.0
-9.9	3217.0
-10.0	3091.0
-10.1	3158.0
-10.2	3178.0
-10.3	3070.0
-10.4	3128.0
-10.5	3025.0
-10.6	3076.0
-10.7	3055.0
-10.8	3025.0
-10.9	3056.0
-11.0	3055.0
-11.1	3139.0
-11.2	3151.0
-11.3	3118.0
-11.4	3187.0
-11.5	3218.0
-11.6	3114.0
-11.7	3264.0
-11.8	3136.0
-11.9	3153.0
-12.0	2990.0
-12.1	2959.0
-12.2	2959.0
-12.3	2927.0
-12.4	2970.0
-12.5	2818.0
-12.6	2621.0
-12.7	2635.0
-12.8	2607.0
-12.9	2448.0
-13.0	2322.0
-13.1	2233.0
-13.2	2156.0
-13.3	2090.0
-13.4	1929.0
-13.5	1802.0
-13.6	1749.0
-13.7	1737.0
-13.8	1632.0
-13.9	1488.0
-14.0	1362.0
-14.1	1317.0
-14.2	1239.0
-14.3	1233.0
-14.4	1195.0
-14.5	1112.0
-14.6	1149.0
-14.7	1031.0
-14.8	1056.0
-14.9	986.0
-15.0	954.0
-15.1	994.0
-15.2	955.0
-15.3	876.0
-15.4	914.0
-15.5	868.0
-15.6	839.0
-15.7	799.0
-15.8	797.0
-15.9	795.0
-16.0	804.0
-16.1	738.0
-16.2	736.0
-16.3	748.0
-16.4	701.0
-16.5	679.0
-16.6	704.0
-16.7	665.0
-16.8	636.0
-16.9	712.0
-17.0	665.0
-17.1	640.0
-17.2	620.0
-17.3	633.0
-17.4	614.0
-17.5	582.0
-17.6	558.0
-17.7	598.0
-17.8	589.0
-17.9	540.0
-18.0	552.0
-18.1	575.0
-18.2	565.0
-18.3	564.0
-18.4	563.0
-18.5	516.0
-18.6	538.0
-18.7	524.0
-18.8	485.0
-18.9	480.0
-19.0	495.0
-19.1	479.0
-19.2	499.0
-19.3	492.0
-19.4	498.0
-19.5	483.0
-19.6	453.0
-19.7	469.0
-19.8	436.0
-19.9	446.0
-20.0	415.0
