#Distance (mm)	Counts
0.0	326.0
-0.1	321.0
-0.2	306.0
-0.3	313.0
-0.4	323.0
-0.5	298.0
-0.6	338.0
-0.7	322.0
-0.8	346.0
-0.9	287.0
-1.0	340.0
-1.1	365.0
-1.2	371.0
-1.3	355.0
-1.4	363.0
-1.5	370.0
-1.6	323.0
-1.7	352.0
-1.8	351.0
-1.9	355.0
-2.0	397.0
-2.1	406.0
-2.2	407.0
-2.3	385.0
-2.4	416.0
-2.5	410.0
-2.6	429.0
-2.7	461.0
-2.8	422.0
-2.9	417.0
-3.0	460.0
-3.1	457.0
-3.2	486.0
-3.3	480.0
-3.4	453.0
-3.5	527.0
-3.6	477.0
-3.7	504.0
-3.8	507.0
-3.9	498.0
-4.0	599.0
-4.1	557.0
-4.2	566.0
-4.3	584.0
-4.4	610.0
-4.5	604.0
-4.6	600.0
-4.7	603.0
-4.8	688.0
-4.9	719.0
-5.0	724.0
-5.1	716.0
-5.2	720.0
-5.3	734.0
-5.4	745.0
-5.5	825.0
-5.6	831.0
-5.7	879.0
-5.8	976.0
-5.9	959.0
-6.0	1005.0
-6.1	1095.0
-6.2	1149.0
-6.3	1117.0
-6.4	1223.0
-6.5	1278.0
-6.6	1262.0
-6.7	1351.0
-6.8	1411.0
-6.9	1415.0
-7.0	1536.0
-7.1	1652.0
-7.2	1770.0
-7.3	1750.0
-7.4	1831.0
-7.5	1914.0
-7.6	1928.0
-7.7	1991.0
-7.8	2014.0
-7.9	2077.0
-8.0	2078.0
-8.1	2186.0
-8.2	2096.0
-8.3	2145.0
-8.4	2262.0
-8.5	2203.0
-8.6	2206.0
-8.7	2107.0
-8.8	2074.0
-8.9	2115.0
-9.0	2067.0
-9.1	1973.0
-9.2	1979.0
-9.3	1830.0
-9.4	1737.0
-9.5	1688.0
-9.6	1639.0
-9.7	1517.0
-9.8	1523.0
-9.9	1441.0
-10.0	1362.0
-10.1	1305.0
-10.2	1255.0
-10.3	1237.0
-10.4	1266.0
-10.5	1169.0
-10.6	1170.0
-10.7	1144.0
-10.8	1170.0
-10.9	1118.0
-11.0	1077.0
-11.1	1119.0
-11.2	1159.0
-11.3	1200.0
-11.4	1165.0
-11.5	1187.0
-11.6	1253.0
-11.7	1290.0
-11.8	1351.0
-11.9	1357.0
-12.0	1395.0
-12.1	1447.0
-12.2	1455.0
-12.3	1446.0
-12.4	1536.0
-12.5	1494.0
-12.6	1612.0
-12.7	1684.0
-12.8	1645.0
-12.9	1754.0
-13.0	1811.0
-13.1	1883.0
-13.2	2033.0
-13.3	1978.0
-13.4	2157.0
-13.5	2061.0
-13.6	2243.0
-13.7	2158.0
-13.8	2249.0
-13.9	2234.0
-14.0	2285.0
-14.1	2262.0
-14.2	2283.0
-14.3	2273.0
-14.4	2236.0
-14.5	2208.0
-14.6	2079.0
-14.7	2024.0
-14.8	1971.0
-14.9	1943.0
-15.0	1810.0
-15.1	1757.0
-15.2	1682.0
-15.3	1634.0
-15.4	1492.0
-15.5	1365.0
-15.6	1299.0
-15.7	1214.0
-15.8	1161.0
-15.9	1146.0
-16.0	1085.0
-16.1	1075.0
-16.2	944.0
-16.3	1004.0
-16.4	938.0
-16.5	802.0
-16.6	849.0
-16.7	833.0
-16.8	777.0
-16.9	774.0
-17.0	694.0
-17.1	757.0
-17.2	659.0
-17.3	685.0
-17.4	687.0
-17.5	672.0
-17.6	586.0
-17.7	638.0
-17.8	565.0
-17.9	618.0
-18.0	575.0
-18.1	549.0
-18.2	572.0
-18.3	552.0
-18.4	531.0
-18.5	530.0
-18.6	540.0
-18.7	519.0
-18.8	503.0
-18.9	510.0
-19.0	527.0
-19.1	491.0
-19.2	492.0
-19.3	487.0
-19.4	429.0
-19.5	483.0
-19.6	449.0
-19.7	433.0
-19.8	445.0
-19.9	408.0
-20.0	423.0
