#Distance (mm)	Counts
0.0	312.0
-0.1	274.0
-0.2	322.0
-0.3	322.0
-0.4	314.0
-0.5	331.0
-0.6	338.0
-0.7	319.0
-0.8	377.0
-0.9	421.0
-1.0	386.0
-1.1	357.0
-1.2	348.0
-1.3	416.0
-1.4	381.0
-1.5	383.0
-1.6	378.0
-1.7	392.0
-1.8	393.0
-1.9	407.0
-2.0	421.0
-2.1	403.0
-2.2	455.0
-2.3	417.0
-2.4	425.0
-2.5	410.0
-2.6	408.0
-2.7	420.0
-2.8	445.0
-2.9	461.0
-3.0	483.0
-3.1	499.0
-3.2	442.0
-3.3	491.0
-3.4	489.0
-3.5	542.0
-3.6	529.0
-3.7	546.0
-3.8	539.0
-3.9	547.0
-4.0	546.0
-4.1	607.0
-4.2	554.0
-4.3	635.0
-4.4	662.0
-4.5	618.0
-4.6	636.0
-4.7	685.0
-4.8	677.0
-4.9	732.0
-5.0	754.0
-5.1	725.0
-5.2	799.0
-5.3	795.0
-5.4	845.0
-5.5	839.0
-5.6	867.0
-5.7	895.0
-5.8	977.0
-5.9	1003.0
-6.0	1049.0
-6.1	1147.0
-6.2	1172.0
-6.3	1204.0
-6.4	1244.0
-6.5	1335.0
-6.6	1339.0
-6.7	1468.0
-6.8	1509.0
-6.9	1530.0
-7.0	1612.0
-7.1	1705.0
-7.2	1855.0
-7.3	1859.0
-7.4	1879.0
-7.5	2086.0
-7.6	2137.0
-7.7	2091.0
-7.8	2356.0
-7.9	2308.0
-8.0	2395.0
-8.1	2473.0
-8.2	2548.0
-8.3	2520.0
-8.4	2612.0
-8.5	2529.0
-8.6	2638.0
-8.7	2610.0
-8.8	2571.0
-8.9	2603.0
-9.0	2533.0
-9.1	2374.0
-9.2	2399.0
-9.3	2381.0
-9.4	2177.0
-9.5	2187.0
-9.6	2087.0
-9.7	2058.0
-9.8	1951.0
-9.9	1874.0
-10.0	1804.0
-10.1	1721.0
-10.2	1712.0
-10.3	1620.0
-10.4	1600.0
-10.5	1508.0
-10.6	1490.0
-10.7	1487.0
-10.8	1471.0
-10.9	1440.0
-11.0	1459.0
-11.1	1425.0
-11.2	1433.0
-11.3	1443.0
-11.4	1515.0
-11.5	1464.0
-11.6	1526.0
-11.7	1591.0
-11.8	1618.0
-11.9	1635.0
-12.0	1723.0
-12.1	1720.0
-12.2	1763.0
-12.3	1833.0
-12.4	1910.0
-12.5	1886.0
-12.6	2116.0
-12.7	2110.0
-12.8	2252.0
-12.9	2185.0
-13.0	2352.0
-13.1	2388.0
-13.2	2442.0
-13.3	2438.0
-13.4	2407.0
-13.5	2507.0
-13.6	2516.0
-13.7	2538.0
-13.8	2614.0
-13.9	2523.0
-14.0	2565.0
-14.1	2498.0
-14.2	2479.0
-14.3	2346.0
-14.4	2487.0
-14.5	2209.0
-14.6	2217.0
-14.7	2210.0
-14.8	2019.0
-14.9	1930.0
-15.0	1912.0
-15.1	1759.0
-15.2	1671.0
-15.3	1658.0
-15.4	1550.0
-15.5	1396.0
-15.6	1372.0
-15.7	1342.0
-15.8	1242.0
-15.9	1189.0
-16.0	1172.0
-16.1	1072.0
-16.2	1003.0
-16.3	940.0
-16.4	888.0
-16.5	897.0
-16.6	877.0
-16.7	794.0
-16.8	849.0
-16.9	812.0
-17.0	735.0
-17.1	742.0
-17.2	786.0
-17.3	721.0
-17.4	649.0
-17.5	672.0
-17.6	669.0
-17.7	632.0
-17.8	674.0
-17.9	594.0
-18.0	706.0
-18.1	631.0
-18.2	621.0
-18.3	518.0
-18.4	582.0
-18.5	563.0
-18.6	530.0
-18.7	564.0
-18.8	535.0
-18.9	515.0
-19.0	501.0
-19.1	521.0
-19.2	505.0
-19.3	528.0
-19.4	500.0
-19.5	452.0
-19.6	484.0
-19.7	447.0
-19.8	492.0
-19.9	458.0
-20.0	485.0
