#Distance (mm)	Counts
0.0	321.0
-0.1	345.0
-0.2	335.0
-0.3	364.0
-0.4	347.0
-0.5	395.0
-0.6	367.0
-0.7	371.0
-0.8	378.0
-0.9	430.0
-1.0	391.0
-1.1	400.0
-1.2	383.0
-1.3	369.0
-1.4	435.0
-1.5	409.0
-1.6	430.0
-1.7	419.0
-1.8	443.0
-1.9	428.0
-2.0	411.0
-2.1	468.0
-2.2	450.0
-2.3	451.0
-2.4	462.0
-2.5	455.0
-2.6	485.0
-2.7	485.0
-2.8	530.0
-2.9	521.0
-3.0	576.0
-3.1	565.0
-3.2	558.0
-3.3	533.0
-3.4	603.0
-3.5	607.0
-3.6	654.0
-3.7	625.0
-3.8	643.0
-3.9	643.0
-4.0	695.0
-4.1	732.0
-4.2	692.0
-4.3	745.0
-4.4	767.0
-4.5	762.0
-4.6	804.0
-4.7	846.0
-4.8	840.0
-4.9	883.0
-5.0	1009.0
-5.1	992.0
-5.2	1049.0
-5.3	1133.0
-5.4	1089.0
-5.5	1131.0
-5.6	1251.0
-5.7	1314.0
-5.8	1338.0
-5.9	1445.0
-6.0	1537.0
-6.1	1562.0
-6.2	1541.0
-6.3	1716.0
-6.4	1741.0
-6.5	1761.0
-6.6	1936.0
-6.7	1956.0
-6.8	1994.0
-6.9	2090.0
-7.0	2243.0
-7.1	2266.0
-7.2	2389.0
-7.3	2404.0
-7.4	2362.0
-7.5	2410.0
-7.6	2498.0
-7.7	2442.0
-7.8	2522.0
-7.9	2415.0
-8.0	2419.0
-8.1	2413.0
-8.2	2380.0
-8.3	2293.0
-8.4	2290.0
-8.5	2185.0
-8.6	2084.0
-8.7	2006.0
-8.8	1902.0
-8.9	1830.0
-9.0	1896.0
-9.1	1726.0
-9.2	1678.0
-9.3	1561.0
-9.4	1539.0
-9.5	1451.0
-9.6	1435.0
-9.7	1391.0
-9.8	1437.0
-9.9	1285.0
-10.0	1291.0
-10.1	1292.0
-10.2	1280.0
-10.3	1297.0
-10.4	1219.0
-10.5	1272.0
-10.6	1248.0
-10.7	1276.0
-10.8	1312.0
-10.9	1389.0
-11.0	1443.0
-11.1	1420.0
-11.2	1391.0
-11.3	1458.0
-11.4	1564.0
-11.5	1538.0
-11.6	1577.0
-11.7	1591.0
-11.8	1670.0
-11.9	1748.0
-12.0	1831.0
-12.1	1880.0
-12.2	1916.0
-12.3	1916.0
-12.4	1989.0
-12.5	2110.0
-12.6	2086.0
-12.7	2211.0
-12.8	2293.0
-12.9	2341.0
-13.0	2357.0
-13.1	2327.0
-13.2	2428.0
-13.3	2419.0
-13.4	2461.0
-13.5	2442.0
-13.6	2377.0
-13.7	2338.0
-13.8	2279.0
-13.9	2219.0
-14.0	2163.0
-14.1	2061.0
-14.2	2173.0
-14.3	2036.0
-14.4	1906.0
-14.5	1873.0
-14.6	1741.0
-14.7	1638.0
-14.8	1583.0
-14.9	1460.0
-15.0	1357.0
-15.1	1334.0
-15.2	1251.0
-15.3	1240.0
-15.4	1157.0
-15.5	1110.0
-15.6	1061.0
-15.7	1033.0
-15.8	951.0
-15.9	896.0
-16.0	888.0
-16.1	827.0
-16.2	830.0
-16.3	784.0
-16.4	785.0
-16.5	733.0
-16.6	699.0
-16.7	687.0
-16.8	727.0
-16.9	672.0
-17.0	665.0
-17.1	646.0
-17.2	605.0
-17.3	589.0
-17.4	570.0
-17.5	591.0
-17.6	538.0
-17.7	543.0
-17.8	557.0
-17.9	555.0
-18.0	549.0
-18.1	522.0
-18.2	517.0
-18.3	540.0
-18.4	531.0
-18.5	513.0
-18.6	487.0
-18.7	516.0
-18.8	480.0
-18.9	497.0
-19.0	483.0
-19.1	457.0
-19.2	476.0
-19.3	462.0
-19.4	463.0
-19.5	444.0
-19.6	412.0
-19.7	443.0
-19.8	451.0
-19.9	409.0
-20.0	453.0
