#Distance (mm)	Counts
0.0	321.0
-0.1	368.0
-0.2	339.0
-0.3	385.0
-0.4	341.0
-0.5	330.0
-0.6	373.0
-0.7	365.0
-0.8	358.0
-0.9	381.0
-1.0	344.0
-1.1	422.0
-1.2	410.0
-1.3	418.0
-1.4	400.0
-1.5	403.0
-1.6	424.0
-1.7	446.0
-1.8	409.0
-1.9	453.0
-2.0	436.0
-2.1	417.0
-2.2	467.0
-2.3	458.0
-2.4	452.0
-2.5	480.0
-2.6	478.0
-2.7	483.0
-2.8	452.0
-2.9	437.0
-3.0	541.0
-3.1	476.0
-3.2	540.0
-3.3	552.0
-3.4	520.0
-3.5	540.0
-3.6	572.0
-3.7	562.0
-3.8	521.0
-3.9	581.0
-4.0	562.0
-4.1	592.0
-4.2	543.0
-4.3	604.0
-4.4	597.0
-4.5	622.0
-4.6	609.0
-4.7	674.0
-4.8	670.0
-4.9	664.0
-5.0	680.0
-5.1	725.0
-5.2	750.0
-5.3	693.0
-5.4	695.0
-5.5	708.0
-5.6	786.0
-5.7	817.0
-5.8	829.0
-5.9	884.0
-6.0	850.0
-6.1	926.0
-6.2	890.0
-6.3	918.0
-6.4	924.0
-6.5	1035.0
-6.6	981.0
-6.7	1024.0
-6.8	988.0
-6.9	1085.0
-7.0	1160.0
-7.1	1146.0
-7.2	1164.0
-7.3	1224.0
-7.4	1305.0
-7.5	1331.0
-7.6	1381.0
-7.7	1462.0
-7.8	1482.0
-7.9	1575.0
-8.0	1675.0
-8.1	1750.0
-8.2	1843.0
-8.3	1937.0
-8.4	1970.0
-8.5	2125.0
-8.6	2208.0
-8.7	2277.0
-8.8	2421.0
-8.9	2490.0
-9.0	2559.0
-9.1	2816.0
-9.2	3016.0
-9.3	3088.0
-9.4	3259.0
-9.5	3455.0
-9.6	3487.0
-9.7	3699.0
-9.8	3818.0
-9.9	3924.0
-10.0	4089.0
-10.1	4144.0
-10.2	4262.0
-10.3	4359.0
-10.4	4403.0
-10.5	4544.0
-10.6	4599.0
-10.7	4504.0
-10.8	4713.0
-10.9	4517.0
-11.0	4536.0
-11.1	4461.0
-11.2	4455.0
-11.3	4288.0
-11.4	4175.0
-11.5	3959.0
-11.6	3889.0
-11.7	3676.0
-11.8	3731.0
-11.9	3548.0
-12.0	3292.0
-12.1	3187.0
-12.2	2944.0
-12.3	2820.0
-12.4	2622.0
-12.5	2545.0
-12.6	2391.0
-12.7	2189.0
-12.8	2044.0
-12.9	2030.0
-13.0	1980.0
-13.1	1792.0
-13.2	1805.0
-13.3	1620.0
-13.4	1572.0
-13.5	1520.0
-13.6	1465.0
-13.7	1343.0
-13.8	1347.0
-13.9	1342.0
-14.0	1229.0
-14.1	1181.0
-14.2	1125.0
-14.3	1108.0
-14.4	1094.0
-14.5	1011.0
-14.6	1022.0
-14.7	985.0
-14.8	955.0
-14.9	973.0
-15.0	917.0
-15.1	883.0
-15.2	921.0
-15.3	889.0
-15.4	851.0
-15.5	823.0
-15.6	774.0
-15.7	842.0
-15.8	730.0
-15.9	779.0
-16.0	805.0
-16.1	734.0
-16.2	761.0
-16.3	747.0
-16.4	718.0
-16.5	699.0
-16.6	694.0
-16.7	651.0
-16.8	733.0
-16.9	691.0
-17.0	669.0
-17.1	649.0
-17.2	664.0
-17.3	637.0
-17.4	623.0
-17.5	671.0
-17.6	590.0
-17.7	636.0
-17.8	580.0
-17.9	522.0
-18.0	594.0
-18.1	552.0
-18.2	606.0
-18.3	524.0
-18.4	560.0
-18.5	583.0
-18.6	495.0
-18.7	589.0
-18.8	508.0
-18.9	490.0
-19.0	514.0
-19.1	507.0
-19.2	502.0
-19.3	471.0
-19.4	497.0
-19.5	487.0
-19.6	470.0
-19.7	479.0
-19.8	474.0
-19.9	434.0
-20.0	440.0
