#Distance (mm)	Counts
0.0	361.0
-0.1	355.0
-0.2	340.0
-0.3	371.0
-0.4	370.0
-0.5	402.0
-0.6	360.0
-0.7	385.0
-0.8	355.0
-0.9	383.0
-1.0	374.0
-1.1	411.0
-1.2	404.0
-1.3	389.0
-1.4	438.0
-1.5	421.0
-1.6	412.0
-1.7	426.0
-1.8	421.0
-1.9	404.0
-2.0	425.0
-2.1	428.0
-2.2	433.0
-2.3	444.0
-2.4	448.0
-2.5	456.0
-2.6	475.0
-2.7	459.0
-2.8	522.0
-2.9	482.0
-3.0	520.0
-3.1	516.0
-3.2	495.0
-3.3	489.0
-3.4	550.0
-3.5	540.0
-3.6	551.0
-3.7	542.0
-3.8	556.0
-3.9	547.0
-4.0	611.0
-4.1	565.0
-4.2	595.0
-4.3	609.0
-4.4	625.0
-4.5	648.0
-4.6	676.0
-4.7	642.0
-4.8	653.0
-4.9	720.0
-5.0	762.0
-5.1	720.0
-5.2	720.0
-5.3	763.0
-5.4	789.0
-5.5	814.0
-5.6	802.0
-5.7	846.0
-5.8	828.0
-5.9	872.0
-6.0	889.0
-6.1	936.0
-6.2	893.0
-6.3	907.0
-6.4	975.0
-6.5	1054.0
-6.6	1060.0
-6.7	1131.0
-6.8	1146.0
-6.9	1227.0
-7.0	1327.0
-7.1	1298.0
-7.2	1377.0
-7.3	1458.0
-7.4	1516.0
-7.5	1529.0
-7.6	1599.0
-7.7	1708.0
-7.8	1779.0
-7.9	1869.0
-8.0	1893.0
-8.1	1992.0
-8.2	2109.0
-8.3	2319.0
-8.4	2289.0
-8.5	2395.0
-8.6	2500.0
-8.7	2660.0
-8.8	2613.0
-8.9	2835.0
-9.0	2864.0
-9.1	2945.0
-9.2	3076.0
-9.3	3143.0
-9.4	3267.0
-9.5	3353.0
-9.6	3245.0
-9.7	3372.0
-9.8	3447.0
-9.9	3406.0
-10.0	3490.0
-10.1	3400.0
-10.2	3476.0
-10.3	3358.0
-10.4	3423.0
-10.5	3362.0
-10.6	3369.0
-10.7	3263.0
-10.8	3306.0
-10.9	3282.0
-11.0	3246.0
-11.1	3327.0
-11.2	3228.0
-11.3	3329.0
-11.4	3174.0
-11.5	3254.0
-11.6	3317.0
-11.7	3201.0
-11.8	3324.0
-11.9	3180.0
-12.0	3245.0
-12.1	3185.0
-12.2	3110.0
-12.3	3061.0
-12.4	2975.0
-12.5	2991.0
-12.6	2816.0
-12.7	2777.0
-12.8	2656.0
-12.9	2604.0
-13.0	2479.0
-13.1	2429.0
-13.2	2282.0
-13.3	2299.0
-13.4	2111.0
-13.5	2000.0
-13.6	1893.0
-13.7	1845.0
-13.8	1741.0
-13.9	1620.0
-14.0	1640.0
-14.1	1530.0
-14.2	1445.0
-14.3	1426.0
-14.4	1337.0
-14.5	1274.0
-14.6	1215.0
-14.7	1172.0
-14.8	1151.0
-14.9	1115.0
-15.0	1017.0
-15.1	1084.0
-15.2	1028.0
-15.3	1010.0
-15.4	927.0
-15.5	926.0
-15.6	875.0
-15.7	927.0
-15.8	849.0
-15.9	868.0
-16.0	796.0
-16.1	778.0
-16.2	805.0
-16.3	726.0
-16.4	762.0
-16.5	733.0
-16.6	742.0
-16.7	752.0
-16.8	728.0
-16.9	693.0
-17.0	678.0
-17.1	693.0
-17.2	674.0
-17.3	665.0
-17.4	635.0
-17.5	672.0
-17.6	636.0
-17.7	621.0
-17.8	626.0
-17.9	613.0
-18.0	606.0
-18.1	567.0
-18.2	582.0
-18.3	550.0
-18.4	576.0
-18.5	580.0
-18.6	549.0
-18.7	575.0
-18.8	547.0
-18.9	546.0
-19.0	550.0
-19.1	483.0
-19.2	513.0
-19.3	513.0
-19.4	483.0
-19.5	467.0
-19.6	488.0
-19.7	494.0
-19.8	472.0
-19.9	432.0
-20.0	444.0
