#Distance (mm)	Counts
0.0	339.0
-0.1	381.0
-0.2	362.0
-0.3	378.0
-0.4	376.0
-0.5	351.0
-0.6	398.0
-0.7	402.0
-0.8	392.0
-0.9	380.0
-1.0	407.0
-1.1	396.0
-1.2	386.0
-1.3	396.0
-1.4	400.0
-1.5	400.0
-1.6	408.0
-1.7	404.0
-1.8	442.0
-1.9	458.0
-2.0	439.0
-2.1	429.0
-2.2	432.0
-2.3	489.0
-2.4	469.0
-2.5	496.0
-2.6	491.0
-2.7	507.0
-2.8	485.0
-2.9	518.0
-3.0	523.0
-3.1	502.0
-3.2	531.0
-3.3	574.0
-3.4	571.0
-3.5	548.0
-3.6	609.0
-3.7	602.0
-3.8	647.0
-3.9	648.0
-4.0	653.0
-4.1	686.0
-4.2	680.0
-4.3	707.0
-4.4	695.0
-4.5	710.0
-4.6	730.0
-4.7	786.0
-4.8	824.0
-4.9	814.0
-5.0	847.0
-5.1	855.0
-5.2	914.0
-5.3	864.0
-5.4	931.0
-5.5	935.0
-5.6	1019.0
-5.7	1022.0
-5.8	1040.0
-5.9	1101.0
-6.0	1194.0
-6.1	1234.0
-6.2	1278.0
-6.3	1371.0
-6.4	1333.0
-6.5	1438.0
-6.6	1557.0
-6.7	1578.0
-6.8	1666.0
-6.9	1623.0
-7.0	1873.0
-7.1	1900.0
-7.2	2051.0
-7.3	2046.0
-7.4	2177.0
-7.5	2199.0
-7.6	2303.0
-7.7	2432.0
-7.8	2414.0
-7.9	2455.0
-8.0	2514.0
-8.1	2569.0
-8.2	2673.0
-8.3	2639.0
-8.4	2682.0
-8.5	2798.0
-8.6	2673.0
-8.7	2786.0
-8.8	2760.0
-8.9	2575.0
-9.0	2574.0
-9.1	2533.0
-9.2	2442.0
-9.3	2455.0
-9.4	2355.0
-9.5	2321.0
-9.6	2278.0
-9.7	2202.0
-9.8	2087.0
-9.9	2183.0
-10.0	2029.0
-10.1	2047.0
-10.2	1966.0
-10.3	2080.0
-10.4	2070.0
-10.5	1928.0
-10.6	2011.0
-10.7	2073.0
-10.8	2084.0
-10.9	2094.0
-11.0	2170.0
-11.1	2136.0
-11.2	2184.0
-11.3	2150.0
-11.4	2247.0
-11.5	2335.0
-11.6	2384.0
-11.7	2419.0
-11.8	2441.0
-11.9	2636.0
-12.0	2618.0
-12.1	2562.0
-12.2	2701.0
-12.3	2705.0
-12.4	2771.0
-12.5	2766.0
-12.6	2730.0
-12.7	2743.0
-12.8	2710.0
-12.9	2712.0
-13.0	2584.0
-13.1	2582.0
-13.2	2549.0
-13.3	2491.0
-13.4	2440.0
-13.5	2369.0
-13.6	2214.0
-13.7	2193.0
-13.8	2100.0
-13.9	1934.0
-14.0	1842.0
-14.1	1759.0
-14.2	1652.0
-14.3	1654.0
-14.4	1473.0
-14.5	1407.0
-14.6	1286.0
-14.7	1317.0
-14.8	1237.0
-14.9	1186.0
-15.0	1130.0
-15.1	1118.0
-15.2	997.0
-15.3	996.0
-15.4	1011.0
-15.5	995.0
-15.6	893.0
-15.7	873.0
-15.8	853.0
-15.9	816.0
-16.0	794.0
-16.1	754.0
-16.2	753.0
-16.3	710.0
-16.4	755.0
-16.5	706.0
-16.6	753.0
-16.7	675.0
-16.8	700.0
-16.9	678.0
-17.0	638.0
-17.1	666.0
-17.2	627.0
-17.3	650.0
-17.4	640.0
-17.5	546.0
-17.6	564.0
-17.7	594.0
-17.8	549.0
-17.9	561.0
-18.0	552.0
-18.1	584.0
-18.2	524.0
-18.3	532.0
-18.4	554.0
-18.5	501.0
-18.6	489.0
-18.7	498.0
-18.8	483.0
-18.9	467.0
-19.0	514.0
-19.1	484.0
-19.2	505.0
-19.3	448.0
-19.4	479.0
-19.5	426.0
-19.6	428.0
-19.7	463.0
-19.8	444.0
-19.9	400.0
-20.0	444.0
