#Distance (mm)	Counts
0.0	397.0
-0.1	350.0
-0.2	350.0
-0.3	374.0
-0.4	387.0
-0.5	408.0
-0.6	372.0
-0.7	375.0
-0.8	389.0
-0.9	405.0
-1.0	391.0
-1.1	421.0
-1.2	374.0
-1.3	422.0
-1.4	444.0
-1.5	399.0
-1.6	447.0
-1.7	433.0
-1.8	412.0
-1.9	450.0
-2.0	492.0
-2.1	453.0
-2.2	454.0
-2.3	490.0
-2.4	516.0
-2.5	485.0
-2.6	524.0
-2.7	465.0
-2.8	469.0
-2.9	516.0
-3.0	537.0
-3.1	515.0
-3.2	548.0
-3.3	572.0
-3.4	603.0
-3.5	589.0
-3.6	604.0
-3.7	616.0
-3.8	633.0
-3.9	608.0
-4.0	695.0
-4.1	679.0
-4.2	743.0
-4.3	726.0
-4.4	759.0
-4.5	760.0
-4.6	759.0
-4.7	824.0
-4.8	852.0
-4.9	834.0
-5.0	839.0
-5.1	895.0
-5.2	948.0
-5.3	1011.0
-5.4	1054.0
-5.5	1079.0
-5.6	1052.0
-5.7	1185.0
-5.8	1239.0
-5.9	1327.0
-6.0	1377.0
-6.1	1465.0
-6.2	1500.0
-6.3	1484.0
-6.4	1653.0
-6.5	1677.0
-6.6	1793.0
-6.7	1763.0
-6.8	1842.0
-6.9	1856.0
-7.0	2087.0
-7.1	2128.0
-7.2	2279.0
-7.3	2216.0
-7.4	2355.0
-7.5	2425.0
-7.6	2476.0
-7.7	2571.0
-7.8	2483.0
-7.9	2484.0
-8.0	2490.0
-8.1	2643.0
-8.2	2638.0
-8.3	2630.0
-8.4	2460.0
-8.5	2572.0
-8.6	2445.0
-8.7	2411.0
-8.8	2462.0
-8.9	2354.0
-9.0	2251.0
-9.1	2235.0
-9.2	2153.0
-9.3	2014.0
-9.4	1899.0
-9.5	1843.0
-9.6	1757.0
-9.7	1712.0
-9.8	1752.0
-9.9	1608.0
-10.0	1640.0
-10.1	1631.0
-10.2	1652.0
-10.3	1589.0
-10.4	1543.0
-10.5	1515.0
-10.6	1546.0
-10.7	1609.0
-10.8	1603.0
-10.9	1639.0
-11.0	1609.0
-11.1	1651.0
-11.2	1783.0
-11.3	1720.0
-11.4	1774.0
-11.5	1837.0
-11.6	1831.0
-11.7	1900.0
-11.8	2038.0
-11.9	2039.0
-12.0	2109.0
-12.1	2080.0
-12.2	2247.0
-12.3	2243.0
-12.4	2359.0
-12.5	2440.0
-12.6	2477.0
-12.7	2560.0
-12.8	2495.0
-12.9	2530.0
-13.0	2584.0
-13.1	2630.0
-13.2	2600.0
-13.3	2570.0
-13.4	2581.0
-13.5	2490.0
-13.6	2505.0
-13.7	2372.0
-13.8	2388.0
-13.9	2304.0
-14.0	2275.0
-14.1	2089.0
-14.2	2064.0
-14.3	1939.0
-14.4	1843.0
-14.5	1724.0
-14.6	1691.0
-14.7	1530.0
-14.8	1461.0
-14.9	1431.0
-15.0	1337.0
-15.1	1304.0
-15.2	1249.0
-15.3	1233.0
-15.4	1200.0
-15.5	1076.0
-15.6	1014.0
-15.7	1031.0
-15.8	972.0
-15.9	953.0
-16.0	862.0
-16.1	815.0
-16.2	824.0
-16.3	853.0
-16.4	787.0
-16.5	752.0
-16.6	739.0
-16.7	789.0
-16.8	684.0
-16.9	716.0
-17.0	678.0
-17.1	674.0
-17.2	663.0
-17.3	608.0
-17.4	629.0
-17.5	592.0
-17.6	603.0
-17.7	610.0
-17.8	558.0
-17.9	584.0
-18.0	557.0
-18.1	576.0
-18.2	538.0
-18.3	534.0
-18.4	561.0
-18.5	566.0
-18.6	506.0
-18.7	539.0
-18.8	525.0
-18.9	523.0
-19.0	480.0
-19.1	518.0
-19.2	480.0
-19.3	490.0
-19.4	490.0
-19.5	489.0
-19.6	450.0
-19.7	435.0
-19.8	428.0
-19.9	464.0
-20.0	447.0
