#Distance (mm)	Counts
0.0	306.0
-0.1	283.0
-0.2	319.0
-0.3	338.0
-0.4	324.0
-0.5	344.0
-0.6	360.0
-0.7	341.0
-0.8	349.0
-0.9	380.0
-1.0	377.0
-1.1	347.0
-1.2	337.0
-1.3	408.0
-1.4	382.0
-1.5	381.0
-1.6	374.0
-1.7	390.0
-1.8	374.0
-1.9	376.0
-2.0	397.0
-2.1	442.0
-2.2	408.0
-2.3	402.0
-2.4	434.0
-2.5	471.0
-2.6	480.0
-2.7	429.0
-2.8	457.0
-2.9	501.0
-3.0	457.0
-3.1	472.0
-3.2	496.0
-3.3	512.0
-3.4	519.0
-3.5	492.0
-3.6	566.0
-3.7	505.0
-3.8	553.0
-3.9	589.0
-4.0	627.0
-4.1	581.0
-4.2	622.0
-4.3	636.0
-4.4	651.0
-4.5	657.0
-4.6	658.0
-4.7	671.0
-4.8	682.0
-4.9	725.0
-5.0	727.0
-5.1	791.0
-5.2	781.0
-5.3	861.0
-5.4	921.0
-5.5	928.0
-5.6	936.0
-5.7	1045.0
-5.8	1005.0
-5.9	1095.0
-6.0	1127.0
-6.1	1262.0
-6.2	1233.0
-6.3	1341.0
-6.4	1336.0
-6.5	1465.0
-6.6	1465.0
-6.7	1635.0
-6.8	1597.0
-6.9	1664.0
-7.0	1812.0
-7.1	1833.0
-7.2	1985.0
-7.3	2012.0
-7.4	2100.0
-7.5	2161.0
-7.6	2211.0
-7.7	2295.0
-7.8	2295.0
-7.9	2418.0
-8.0	2310.0
-8.1	2419.0
-8.2	2486.0
-8.3	2473.0
-8.4	2498.0
-8.5	2420.0
-8.6	2443.0
-8.7	2444.0
-8.8	2326.0
-8.9	2400.0
-9.0	2362.0
-9.1	2242.0
-9.2	2087.0
-9.3	1974.0
-9.4	1933.0
-9.5	1928.0
-9.6	1855.0
-9.7	1669.0
-9.8	1614.0
-9.9	1639.0
-10.0	1586.0
-10.1	1485.0
-10.2	1447.0
-10.3	1433.0
-10.4	1365.0
-10.5	1431.0
-10.6	1296.0
-10.7	1305.0
-10.8	1254.0
-10.9	1336.0
-11.0	1270.0
-11.1	1248.0
-11.2	1266.0
-11.3	1265.0
-11.4	1309.0
-11.5	1330.0
-11.6	1425.0
-11.7	1460.0
-11.8	1485.0
-11.9	1485.0
-12.0	1510.0
-12.1	1642.0
-12.2	1639.0
-12.3	1647.0
-12.4	1731.0
-12.5	1743.0
-12.6	1848.0
-12.7	1871.0
-12.8	1963.0
-12.9	2041.0
-13.0	2136.0
-13.1	2174.0
-13.2	2277.0
-13.3	2271.0
-13.4	2313.0
-13.5	2304.0
-13.6	2462.0
-13.7	2511.0
-13.8	2604.0
-13.9	2483.0
-14.0	2581.0
-14.1	2531.0
-14.2	2520.0
-14.3	2516.0
-14.4	2481.0
-14.5	2419.0
-14.6	2285.0
-14.7	2187.0
-14.8	2153.0
-14.9	2198.0
-15.0	2012.0
-15.1	1962.0
-15.2	1847.0
-15.3	1660.0
-15.4	1668.0
-15.5	1539.0
-15.6	1460.0
-15.7	1409.0
-15.8	1284.0
-15.9	1235.0
-16.0	1183.0
-16.1	1171.0
-16.2	1119.0
-16.3	1042.0
-16.4	1034.0
-16.5	960.0
-16.6	911.0
-16.7	871.0
-16.8	881.0
-16.9	828.0
-17.0	786.0
-17.1	739.0
-17.2	737.0
-17.3	702.0
-17.4	738.0
-17.5	711.0
-17.6	666.0
-17.7	681.0
-17.8	607.0
-17.9	601.0
-18.0	637.0
-18.1	641.0
-18.2	579.0
-18.3	572.0
-18.4	604.0
-18.5	532.0
-18.6	506.0
-18.7	562.0
-18.8	543.0
-18.9	535.0
-19.0	522.0
-19.1	513.0
-19.2	489.0
-19.3	548.0
-19.4	503.0
-19.5	527.0
-19.6	500.0
-19.7	455.0
-19.8	469.0
-19.9	432.0
-20.0	447.0
