#Distance (mm)	Counts
0.0	359.0
-0.1	348.0
-0.2	349.0
-0.3	399.0
-0.4	354.0
-0.5	384.0
-0.6	353.0
-0.7	353.0
-0.8	354.0
-0.9	348.0
-1.0	406.0
-1.1	382.0
-1.2	390.0
-1.3	414.0
-1.4	397.0
-1.5	408.0
-1.6	382.0
-1.7	388.0
-1.8	389.0
-1.9	406.0
-2.0	399.0
-2.1	396.0
-2.2	449.0
-2.3	439.0
-2.4	451.0
-2.5	432.0
-2.6	417.0
-2.7	471.0
-2.8	477.0
-2.9	529.0
-3.0	512.0
-3.1	549.0
-3.2	552.0
-3.3	520.0
-3.4	534.0
-3.5	516.0
-3.6	567.0
-3.7	533.0
-3.8	533.0
-3.9	584.0
-4.0	589.0
-4.1	577.0
-4.2	616.0
-4.3	619.0
-4.4	616.0
-4.5	629.0
-4.6	597.0
-4.7	636.0
-4.8	674.0
-4.9	650.0
-5.0	697.0
-5.1	695.0
-5.2	733.0
-5.3	779.0
-5.4	745.0
-5.5	780.0
-5.6	797.0
-5.7	856.0
-5.8	809.0
-5.9	889.0
-6.0	861.0
-6.1	845.0
-6.2	914.0
-6.3	974.0
-6.4	952.0
-6.5	1029.0
-6.6	1053.0
-6.7	1123.0
-6.8	1097.0
-6.9	1112.0
-7.0	1197.0
-7.1	1223.0
-7.2	1307.0
-7.3	1376.0
-7.4	1343.0
-7.5	1499.0
-7.6	1576.0
-7.7	1689.0
-7.8	1773.0
-7.9	1818.0
-8.0	1830.0
-8.1	1977.0
-8.2	2043.0
-8.3	2173.0
-8.4	2312.0
-8.5	2233.0
-8.6	2352.0
-8.7	2440.0
-8.8	2657.0
-8.9	2578.0
-9.0	2778.0
-9.1	2842.0
-9.2	2970.0
-9.3	3088.0
-9.4	3094.0
-9.5	3085.0
-9.6	3315.0
-9.7	3223.0
-9.8	3312.0
-9.9	3406.0
-10.0	3384.0
-10.1	3381.0
-10.2	3297.0
-10.3	3471.0
-10.4	3275.0
-10.5	3198.0
-10.6	3261.0
-10.7	3196.0
-10.8	3108.0
-10.9	3088.0
-11.0	3093.0
-11.1	3018.0
-11.2	3057.0
-11.3	3119.0
-11.4	3124.0
-11.5	3158.0
-11.6	3074.0
-11.7	3146.0
-11.8	3218.0
-11.9	3259.0
-12.0	3136.0
-12.1	3211.0
-12.2	3143.0
-12.3	3037.0
-12.4	3096.0
-12.5	3048.0
-12.6	3026.0
-12.7	2957.0
-12.8	2918.0
-12.9	2901.0
-13.0	2754.0
-13.1	2781.0
-13.2	2625.0
-13.3	2558.0
-13.4	2417.0
-13.5	2309.0
-13.6	2211.0
-13.7	2219.0
-13.8	2034.0
-13.9	1988.0
-14.0	1881.0
-14.1	1675.0
-14.2	1607.0
-14.3	1589.0
-14.4	1504.0
-14.5	1410.0
-14.6	1339.0
-14.7	1339.0
-14.8	1260.0
-14.9	1245.0
-15.0	1195.0
-15.1	1190.0
-15.2	1090.0
-15.3	1015.0
-15.4	1023.0
-15.5	973.0
-15.6	919.0
-15.7	940.0
-15.8	957.0
-15.9	915.0
-16.0	858.0
-16.1	861.0
-16.2	837.0
-16.3	807.0
-16.4	752.0
-16.5	776.0
-16.6	713.0
-16.7	680.0
-16.8	720.0
-16.9	740.0
-17.0	726.0
-17.1	691.0
-17.2	717.0
-17.3	711.0
-17.4	673.0
-17.5	662.0
-17.6	673.0
-17.7	666.0
-17.8	656.0
-17.9	595.0
-18.0	646.0
-18.1	653.0
-18.2	549.0
-18.3	590.0
-18.4	569.0
-18.5	582.0
-18.6	602.0
-18.7	587.0
-18.8	558.0
-18.9	554.0
-19.0	534.0
-19.1	552.0
-19.2	497.0
-19.3	534.0
-19.4	497.0
-19.5	500.0
-19.6	488.0
-19.7	532.0
-19.8	501.0
-19.9	486.0
-20.0	479.0
