#Distance (mm)	Counts
0.0	336.0
-0.1	341.0
-0.2	362.0
-0.3	351.0
-0.4	360.0
-0.5	364.0
-0.6	394.0
-0.7	378.0
-0.8	370.0
-0.9	400.0
-1.0	380.0
-1.1	371.0
-1.2	388.0
-1.3	426.0
-1.4	414.0
-1.5	408.0
-1.6	441.0
-1.7	412.0
-1.8	423.0
-1.9	448.0
-2.0	442.0
-2.1	436.0
-2.2	448.0
-2.3	473.0
-2.4	460.0
-2.5	451.0
-2.6	451.0
-2.7	499.0
-2.8	498.0
-2.9	497.0
-3.0	497.0
-3.1	510.0
-3.2	483.0
-3.3	561.0
-3.4	535.0
-3.5	548.0
-3.6	580.0
-3.7	572.0
-3.8	561.0
-3.9	606.0
-4.0	607.0
-4.1	599.0
-4.2	584.0
-4.3	660.0
-4.4	642.0
-4.5	665.0
-4.6	681.0
-4.7	690.0
-4.8	736.0
-4.9	689.0
-5.0	710.0
-5.1	792.0
-5.2	757.0
-5.3	796.0
-5.4	811.0
-5.5	775.0
-5.6	882.0
-5.7	853.0
-5.8	858.0
-5.9	932.0
-6.0	900.0
-6.1	952.0
-6.2	971.0
-6.3	929.0
-6.4	1063.0
-6.5	1079.0
-6.6	1059.0
-6.7	1068.0
-6.8	1184.0
-6.9	1163.0
-7.0	1288.0
-7.1	1320.0
-7.2	1389.0
-7.3	1572.0
-7.4	1589.0
-7.5	1663.0
-7.6	1740.0
-7.7	1719.0
-7.8	1793.0
-7.9	1831.0
-8.0	1958.0
-8.1	1997.0
-8.2	2153.0
-8.3	2289.0
-8.4	2345.0
-8.5	2325.0
-8.6	2576.0
-8.7	2623.0
-8.8	2626.0
-8.9	2741.0
-9.0	2931.0
-9.1	2897.0
-9.2	2992.0
-9.3	3035.0
-9.4	3197.0
-9.5	3131.0
-9.6	3295.0
-9.7	3154.0
-9.8	3287.0
-9.9	3257.0
-10.0	3391.0
-10.1	3369.0
-10.2	3269.0
-10.3	3369.0
-10.4	3170.0
-10.5	3227.0
-10.6	3236.0
-10.7	3286.0
-10.8	3138.0
-10.9	3330.0
-11.0	3298.0
-11.1	3257.0
-11.2	3194.0
-11.3	3279.0
-11.4	3159.0
-11.5	3232.0
-11.6	3270.0
-11.7	3180.0
-11.8	3177.0
-11.9	3224.0
-12.0	3107.0
-12.1	3168.0
-12.2	2973.0
-12.3	2996.0
-12.4	2904.0
-12.5	2863.0
-12.6	2862.0
-12.7	2721.0
-12.8	2705.0
-12.9	2511.0
-13.0	2398.0
-13.1	2294.0
-13.2	2262.0
-13.3	2095.0
-13.4	2008.0
-13.5	1931.0
-13.6	1783.0
-13.7	1595.0
-13.8	1646.0
-13.9	1553.0
-14.0	1462.0
-14.1	1412.0
-14.2	1381.0
-14.3	1268.0
-14.4	1256.0
-14.5	1176.0
-14.6	1161.0
-14.7	1099.0
-14.8	1076.0
-14.9	1006.0
-15.0	996.0
-15.1	956.0
-15.2	902.0
-15.3	954.0
-15.4	937.0
-15.5	900.0
-15.6	829.0
-15.7	873.0
-15.8	860.0
-15.9	830.0
-16.0	801.0
-16.1	741.0
-16.2	692.0
-16.3	772.0
-16.4	752.0
-16.5	731.0
-16.6	689.0
-16.7	709.0
-16.8	678.0
-16.9	693.0
-17.0	619.0
-17.1	643.0
-17.2	696.0
-17.3	642.0
-17.4	674.0
-17.5	581.0
-17.6	620.0
-17.7	591.0
-17.8	592.0
-17.9	592.0
-18.0	608.0
-18.1	537.0
-18.2	542.0
-18.3	536.0
-18.4	563.0
-18.5	550.0
-18.6	622.0
-18.7	541.0
-18.8	510.0
-18.9	523.0
-19.0	531.0
-19.1	508.0
-19.2	503.0
-19.3	527.0
-19.4	491.0
-19.5	463.0
-19.6	490.0
-19.7	479.0
-19.8	448.0
-19.9	453.0
-20.0	427.0
